"","Year","Province","Number.of.Staff","Population","staff_ratio"
"1",2007,"Anhui",12500,6118,2.0431513566525
"2",2006,"Anhui",11583,6110,1.89574468085106
"3",2005,"Anhui",14264,6120,2.33071895424837
"4",2004,"Anhui",14561,6228,2.33798972382787
"5",2003,"Anhui",14606,6163,2.36994969982152
"6",2002,"Anhui",14390,6144,2.34212239583333
"7",2001,"Anhui",20317,6128,3.31543733681462
"8",2000,"Anhui",16825,6093,2.76136550139504
"9",2007,"Beijing",6979,1633,4.27372933251684
"10",2006,"Beijing",6378,1581,4.03415559772296
"11",2005,"Beijing",6404,1538,4.16384915474642
"12",2004,"Beijing",6731,1493,4.50837240455459
"13",2003,"Beijing",6721,1456,4.61607142857143
"14",2002,"Beijing",6680,1423,4.69430780042164
"15",2001,"Beijing",7480,1385,5.40072202166065
"16",2000,"Beijing",6915,1364,5.06964809384164
"17",2007,"Chongqing",6187,2816,2.19708806818182
"18",2006,"Chongqing",6313,2808,2.24821937321937
"19",2005,"Chongqing",6410,2798,2.29092208720515
"20",2004,"Chongqing",6396,2793.32,2.2897483997537
"21",2003,"Chongqing",6398,2803.19,2.28239969463361
"22",2002,"Chongqing",6393,2814.43,2.27150790746261
"23",2001,"Chongqing",9486,2829.21,3.35287942570541
"24",2000,"Chongqing",6407,2848.82,2.24900134090606
"25",2007,"Fujian",9808,3611.6375,2.71566567796464
"26",2006,"Fujian",9673,3584.516667,2.69855071090956
"27",2005,"Fujian",9644,3557.395833,2.71097186052166
"28",2004,"Fujian",9670,3529.095833,2.74007860868424
"29",2003,"Fujian",9638,3501.975,2.75216128042033
"30",2002,"Fujian",9584,3476.033333,2.75716573515378
"31",2001,"Fujian",11659,3445.375,3.38395675361898
"32",2000,"Fujian",9947,3410,2.91700879765396
"33",2007,"Gansu",7717,2548.19,3.02842409710422
"34",2006,"Gansu",7663,2546.79,3.00888569532627
"35",2005,"Gansu",7942,2545.1,3.12050607048839
"36",2004,"Gansu",7774,2541.48,3.05884760061067
"37",2003,"Gansu",7719,2537.19,3.04234211864307
"38",2002,"Gansu",7677,2530.76,3.03347610994326
"39",2001,"Gansu",8836,2523.35,3.50169417639249
"40",2000,"Gansu",8575,2515.31,3.40912253360421
"41",2007,"Guangdong",26237,9660,2.71604554865424
"42",2006,"Guangdong",30807,9442,3.26276212666808
"43",2005,"Guangdong",30650,9194,3.33369588862301
"44",2004,"Guangdong",25787,9110.66,2.8304206281433
"45",2003,"Guangdong",25687,8962.69,2.86599224116867
"46",2002,"Guangdong",25507,8842.08,2.88472848017661
"47",2001,"Guangdong",33480,8733.18,3.83365509470777
"48",2000,"Guangdong",27248,8650.03,3.15004687845013
"49",2007,"Guangxi",11994,4768,2.51552013422819
"50",2006,"Guangxi",11523,4719,2.44183089637635
"51",2005,"Guangxi",11624,4660,2.49442060085837
"52",2004,"Guangxi",11645,4889,2.38187768459808
"53",2003,"Guangxi",11631,4857,2.39468807906115
"54",2002,"Guangxi",11609,4822,2.407507258399
"55",2001,"Guangxi",14902,4788,3.11236424394319
"56",2000,"Guangxi",13807,4751,2.90612502631025
"57",2007,"Guizhou",8490,3632,2.33755506607929
"58",2006,"Guizhou",7719,3690,2.09186991869919
"59",2005,"Guizhou",7616,3730,2.04182305630027
"60",2004,"Guizhou",8333,3904,2.13447745901639
"61",2003,"Guizhou",8381,3870,2.1656330749354
"62",2002,"Guizhou",8384,3837,2.18504039614282
"63",2001,"Guizhou",10559,3798.51,2.77977417461057
"64",2000,"Guizhou",9556,3756,2.54419595314164
"65",2007,"Hainan",2298,845,2.71952662721894
"66",2006,"Hainan",2272,836,2.7177033492823
"67",2005,"Hainan",2262,828,2.73188405797101
"68",2004,"Hainan",2269,818,2.77383863080685
"69",2003,"Hainan",2225,811,2.74352651048089
"70",2002,"Hainan",2183,803,2.71855541718555
"71",2001,"Hainan",2635,795.55,3.31217396769531
"72",2000,"Hainan",2396,789,3.03675538656527
"73",2007,"Hebei",25136,6943,3.62033703010226
"74",2006,"Hebei",24919,6898,3.61249637576109
"75",2005,"Hebei",24677,6851,3.60195591884396
"76",2004,"Hebei",24446,6809,3.59024820091056
"77",2003,"Hebei",24603,6769,3.63465799970454
"78",2002,"Hebei",25029,6735,3.7162583518931
"79",2001,"Hebei",28822,6699.13,4.30234970809642
"80",2000,"Hebei",28527,6674,4.27434821696134
"81",2007,"Heilongjiang",13205,3824,3.45319037656904
"82",2006,"Heilongjiang",13785,3823,3.60580695788648
"83",2005,"Heilongjiang",14054,3820,3.67905759162304
"84",2004,"Heilongjiang",12900,3817,3.37961750065496
"85",2003,"Heilongjiang",12811,3815,3.35806028833552
"86",2002,"Heilongjiang",12183,3813,3.19512195121951
"87",2001,"Heilongjiang",16088,3811,4.22146418262923
"88",2000,"Heilongjiang",14050,3807,3.69057000262674
"89",2007,"Henan",22451,9360,2.39861111111111
"90",2006,"Henan",20138,9392,2.14416524701874
"91",2005,"Henan",20037,9380,2.1361407249467
"92",2004,"Henan",21590,9717,2.22187918081712
"93",2003,"Henan",21473,9667,2.22126823212993
"94",2002,"Henan",21314,9613,2.21720586705503
"95",2001,"Henan",23297,9555,2.43819989534275
"96",2000,"Henan",27882,9488,2.93865935919056
"97",2007,"Hubei",24310,5699,4.26566064221793
"98",2006,"Hubei",24760,5693,4.34920077287897
"99",2005,"Hubei",25007,5710,4.37950963222417
"100",2004,"Hubei",26140,5698,4.58757458757459
"101",2003,"Hubei",26141,5685,4.59824098504837
"102",2002,"Hubei",27136,5672,4.78420310296192
"103",2001,"Hubei",30819,5658,5.44697773064687
"104",2000,"Hubei",29680,5646,5.25681898689338
"105",2007,"Hunan",19684,6355,3.09740361919748
"106",2006,"Hunan",18116,6342,2.85651214128035
"107",2005,"Hunan",18321,6326,2.89614290230794
"108",2004,"Hunan",19526,6698,2.91519856673634
"109",2003,"Hunan",19701,6663,2.95677622692481
"110",2002,"Hunan",19864,6629,2.99653039674159
"111",2001,"Hunan",22197,6595.85,3.36529787669519
"112",2000,"Hunan",22281,6562,3.39545870161536
"121",2007,"Jiangsu",19405,7723,2.51262462773534
"122",2006,"Jiangsu",20300,7656,2.65151515151515
"123",2005,"Jiangsu",20258,7588,2.66974169741697
"124",2004,"Jiangsu",19318,7523,2.56785856706101
"125",2003,"Jiangsu",19180,7458,2.57173504961116
"126",2002,"Jiangsu",19129,7406,2.5829057520929
"127",2001,"Jiangsu",28285,7359,3.84359287946732
"128",2000,"Jiangsu",20820,7327,2.84154497065648
"129",2007,"Jiangxi",11627,4368,2.66185897435897
"130",2006,"Jiangxi",11781,4339.1287,2.71506120572086
"131",2005,"Jiangxi",11725,4311,2.71978659243795
"132",2004,"Jiangxi",11150,4284,2.60270774976657
"133",2003,"Jiangxi",11034,4254,2.59379407616361
"134",2002,"Jiangxi",10940,4222,2.59118900994789
"135",2001,"Jiangxi",13382,4185.77,3.19702229219475
"136",2000,"Jiangxi",12790,4149,3.08267052301759
"137",2007,"Jilin",11888,2730,4.35457875457875
"138",2006,"Jilin",11777,2723,4.32500918105031
"139",2005,"Jilin",11974,2716,4.40868924889543
"140",2004,"Jilin",11950,2709,4.41122185308232
"141",2003,"Jilin",11915,2704,4.4064349112426
"142",2002,"Jilin",11834,2699,4.38458688403112
"143",2001,"Jilin",13627,2690.8,5.06429314701947
"144",2000,"Jilin",12872,2682,4.79940343027591
"145",2007,"Liaoning",20213,4298,4.70288506281992
"146",2006,"Liaoning",21110,4271,4.94263638492156
"147",2005,"Liaoning",21655,4221,5.13030087656953
"148",2004,"Liaoning",20988,4217,4.97699786578136
"149",2003,"Liaoning",21202,4210,5.03610451306413
"150",2002,"Liaoning",21201,4203,5.04425410421128
"151",2001,"Liaoning",28001,4194,6.67644253695756
"152",2000,"Liaoning",22294,4184,5.32839388145316
"153",2007,"Ningxia",2898,610,4.75081967213115
"154",2006,"Ningxia",2809,604,4.65066225165563
"155",2005,"Ningxia",2737,596,4.59228187919463
"156",2004,"Ningxia",2703,588,4.5969387755102
"157",2003,"Ningxia",2674,580,4.61034482758621
"158",2002,"Ningxia",2647,572,4.62762237762238
"159",2001,"Ningxia",3310,563,5.87921847246892
"160",2000,"Ningxia",2922,554,5.27436823104693
"161",2007,"Qinghai",3898,552,7.06159420289855
"162",2006,"Qinghai",3704,548,6.75912408759124
"163",2005,"Qinghai",3655,543,6.73112338858195
"164",2004,"Qinghai",3828,539,7.10204081632653
"165",2003,"Qinghai",3766,534,7.05243445692884
"166",2002,"Qinghai",3668,529,6.93383742911153
"167",2001,"Qinghai",3964,523.1,7.57790097495699
"168",2000,"Qinghai",3676,517,7.11025145067698
"169",2007,"Shaanxi",12528,3708.374618,3.3782994682335
"170",2006,"Shaanxi",11738,3699.252638,3.17307336066297
"171",2005,"Shaanxi",11666,3690.187473,3.16135700024908
"172",2004,"Shaanxi",11657,3681.225712,3.16660832885109
"173",2003,"Shaanxi",11591,3671.744089,3.15681042007391
"174",2002,"Shaanxi",11487,3662.236369,3.13660802924542
"175",2001,"Shaanxi",13068,3653.143729,3.57719295199403
"176",2000,"Shaanxi",14171,3644,3.88885839736553
"177",2007,"Shandong",25381,9367,2.70961887477314
"178",2006,"Shandong",23897,9309,2.56708561607047
"179",2005,"Shandong",23826,9248,2.57634083044983
"180",2004,"Shandong",24354,9180,2.65294117647059
"181",2003,"Shandong",24331,9125,2.66641095890411
"182",2002,"Shandong",24911,9082,2.74289804007928
"183",2001,"Shandong",28298,9041,3.12996349961287
"184",2000,"Shandong",30473,8998,3.38664147588353
"185",2007,"Shanghai",6319,2063.58,3.06215412050902
"186",2006,"Shanghai",8033,1964.11,4.08989313225838
"187",2005,"Shanghai",8789,1890.26,4.64962491932327
"188",2004,"Shanghai",7431,1834.98,4.04963541836968
"189",2003,"Shanghai",7262,1765.84,4.11249037285371
"190",2002,"Shanghai",7108,1712.97,4.14951808846623
"191",2001,"Shanghai",8316,1668.33,4.98462534390678
"192",2000,"Shanghai",9180,1608.6,5.70682581126445
"193",2007,"Shanxi",12308,3393,3.62746831712349
"194",2006,"Shanxi",12547,3375,3.71762962962963
"195",2005,"Shanxi",12393,3355,3.69388971684054
"196",2004,"Shanxi",11614,3335,3.48245877061469
"197",2003,"Shanxi",11554,3314,3.48642124321062
"198",2002,"Shanxi",11499,3294,3.49089253187614
"199",2001,"Shanxi",16802,3271.63,5.13566631923537
"200",2000,"Shanxi",12496,3247,3.84847551586079
"201",2007,"Sichuan",18465,8127,2.27205610926541
"202",2006,"Sichuan",18982,8169,2.32366262700453
"203",2005,"Sichuan",19223,8212,2.34084266926449
"204",2004,"Sichuan",18038,8090,2.22966625463535
"205",2003,"Sichuan",17835,8176,2.18138454011742
"206",2002,"Sichuan",17773,8110,2.19149198520345
"207",2001,"Sichuan",26414,8143,3.24376765319907
"208",2000,"Sichuan",19895,8329,2.38864209388882
"209",2007,"Tianjin",4648,1115,4.16860986547085
"210",2006,"Tianjin",4722,1075,4.39255813953488
"211",2005,"Tianjin",4727,1043,4.53211888782359
"212",2004,"Tianjin",4632,1024,4.5234375
"213",2003,"Tianjin",4619,1011,4.56874381800198
"214",2002,"Tianjin",4608,1007,4.5759682224429
"215",2001,"Tianjin",5814,1004.06,5.79049060813099
"216",2000,"Tianjin",4790,1001,4.78521478521479
"217",2007,"Tibet",1362,287,4.74564459930314
"218",2006,"Tibet",1308,283,4.62190812720848
"219",2005,"Tibet",1213,277,4.37906137184116
"220",2004,"Tibet",1167,274,4.25912408759124
"221",2003,"Tibet",1151,270,4.26296296296296
"222",2002,"Tibet",1130,267,4.23220973782772
"223",2001,"Tibet",1174,262.97,4.46438757272693
"224",2000,"Tibet",1065,258,4.12790697674419
"225",2007,"Xinjiang",8272,2095,3.94844868735084
"226",2006,"Xinjiang",7504,2050,3.66048780487805
"227",2005,"Xinjiang",7308,2010,3.63582089552239
"228",2004,"Xinjiang",7285,1963,3.7111563932756
"229",2003,"Xinjiang",8279,1934,4.28076525336091
"230",2002,"Xinjiang",8395,1905,4.40682414698163
"231",2001,"Xinjiang",9732,1876.19,5.18710791550962
"232",2000,"Xinjiang",8844,1849,4.78312601406166
"241",2007,"Yunnan",11940,4514,2.64510412051396
"242",2006,"Yunnan",10861,4483,2.42270800803034
"243",2005,"Yunnan",10671,4450,2.39797752808989
"244",2004,"Yunnan",11543,4415,2.61449603624009
"245",2003,"Yunnan",11311,4376,2.58478062157221
"246",2002,"Yunnan",11519,4333,2.6584352642511
"247",2001,"Yunnan",12553,4287.4,2.92788169986472
"248",2000,"Yunnan",12074,4241,2.84697005423249
"249",2007,"Zhejiang",15243,5154.9,2.95699237618577
"250",2006,"Zhejiang",15356,5071.8,3.02772191332466
"251",2005,"Zhejiang",15254,4990.9,3.05636257989541
"252",2004,"Zhejiang",14966,4925.2,3.03865832859579
"253",2003,"Zhejiang",16373,4856.8,3.37114972821611
"254",2002,"Zhejiang",16987,4776.4,3.5564441839042
"255",2001,"Zhejiang",20390,4728.8,4.31187616308577
"256",2000,"Zhejiang",20224,4679.91,4.32145062618726
